200 species,100 species,50 species
Stomatobaculum sp. F0698 (taxid 3059030),Stomatobaculum sp. F0698 (taxid 3059030),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Salmonella enterica subsp. enterica serovar Thompson (taxid 600),Escherichia marmotae (taxid 1499973),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Phascolarctobacterium faecium (taxid 33025),Phascolarctobacterium faecium (taxid 33025),Staphylococcus warneri (taxid 1292)
Parolsenella massiliensis (taxid 1871022),Parolsenella catena (taxid 2003188),Microlunatus elymi (taxid 2596828)
Elusimicrobium minutum Pei191 (taxid 445932),Elusimicrobium minutum Pei191 (taxid 445932),Alcaligenes faecalis (taxid 511)
Mahella australiensis 50-1 BON (taxid 697281),Faecalibacterium prausnitzii (taxid 853),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Terrihabitans soli (taxid 708113),Rhizobium leguminosarum bv. trifolii (taxid 386),Brucella intermedia (taxid 94625)
Bifidobacterium pseudolongum PV8-2 (taxid 1447715),Bifidobacterium pseudolongum PV8-2 (taxid 1447715),Corynebacterium cystitidis (taxid 35757)
Megasphaera massiliensis (taxid 1232428),Megasphaera elsdenii (taxid 907),Enterococcus faecium (taxid 1352)
Lacticaseibacillus rhamnosus (taxid 47715),Lacticaseibacillus rhamnosus (taxid 47715),Ligilactobacillus salivarius (taxid 1624)
Nocardioides panacisoli (taxid 627624),Mycolicibacterium holsaticum DSM 44478 = JCM 12374 (taxid 1226752),Microlunatus elymi (taxid 2596828)
Glycocaulis alkaliphilus (taxid 1434191),Glycocaulis alkaliphilus (taxid 1434191),Sphingomonas hengshuiensis (taxid 1609977)
Brevefilum fermentans (taxid 1986204),Brevefilum fermentans (taxid 1986204),Anaerolinea thermophila UNI-1 (taxid 926569)
Arthrobacter sulfonylureivorans (taxid 2486855),Arthrobacter sulfonylureivorans (taxid 2486855),Microlunatus elymi (taxid 2596828)
Romboutsia sp. 13368 (taxid 2708053),Simiaoa sunii (taxid 2763672),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Clostridium tyrobutyricum (taxid 1519),Staphylococcus aureus (taxid 1280),Crassaminicella indica (taxid 2855394)
Pseudomonas putida DOT-T1E (taxid 1196325),Calothrix sp. 336/3 (taxid 1337936),Staphylococcus warneri (taxid 1292)
Burkholderia dolosa PC543 (taxid 1385930),Ornithobacterium rhinotracheale (taxid 28251),Bacillus velezensis NAU-B3 (taxid 1385727)
Candidatus Liberibacter americanus str. Sao Paulo (taxid 1261131),Crassaminicella profunda (taxid 1286698),Enterococcus faecium (taxid 1352)
Aminipila luticellarii (taxid 2507160),Aminipila luticellarii (taxid 2507160),Emergencia timonensis (taxid 1776384)
Dickeya fangzhongdai (taxid 1778540),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Vibrio penaeicida (taxid 104609),Citrobacter portucalensis (taxid 1639133),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Bacillus cereus (taxid 1396),Enterobacter sp. T2 (taxid 2707174),Escherichia coli (taxid 562)
Acinetobacter indicus (taxid 756892),Acinetobacter indicus (taxid 756892),Acinetobacter calcoaceticus/baumannii complex (taxid 909768)
Acetohalobium arabaticum DSM 5501 (taxid 574087),Staphylococcus aureus (taxid 1280),Crassaminicella indica (taxid 2855394)
Candidatus Portiera aleyrodidarum (taxid 91844),Candidatus Portiera aleyrodidarum (taxid 91844),Pseudomonas sp. TCU-HL1 (taxid 1856685)
Alistipes shahii WAL 8301 (taxid 717959),Alistipes shahii WAL 8301 (taxid 717959),Mucilaginibacter mali (taxid 2740462)
Achromobacter spanius (taxid 217203),Brucella intermedia (taxid 94625),Kerstersia gyiorum (taxid 206506)
Trabulsiella odontotermitis (taxid 379893),Enterobacter hormaechei (taxid 158836),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Bartonella krasnovii (taxid 2267275),Ornithobacterium rhinotracheale (taxid 28251),Bacillus velezensis NAU-B3 (taxid 1385727)
Microlunatus elymi (taxid 2596828),Nocardioides dokdonensis FR1436 (taxid 1300347),Microlunatus elymi (taxid 2596828)
Granulicatella adiacens (taxid 46124),Granulicatella adiacens (taxid 46124),Ligilactobacillus salivarius (taxid 1624)
Helicobacter winghamensis (taxid 157268),Duodenibacillus massiliensis (taxid 1852381),Sulfuriferula plumbiphila (taxid 171865)
Paucilactobacillus oligofermentans DSM 15707 = LMG 22743 (taxid 1423778),Paucilactobacillus oligofermentans DSM 15707 = LMG 22743 (taxid 1423778),Stenotrophomonas acidaminiphila (taxid 128780)
Parafannyhessea umbonata (taxid 604330),Parafannyhessea umbonata (taxid 604330),Microlunatus elymi (taxid 2596828)
Salmonella enterica subsp. enterica serovar Typhimurium str. 798 (taxid 1008297),Xenorhabdus poinarii G6 (taxid 1354304),Pseudomonas sp. FP198 (taxid 2954084)
Desulfovibrio piger (taxid 901),Klebsiella pneumoniae subsp. pneumoniae (taxid 72407),Pseudomonas sp. TCU-HL1 (taxid 1856685)
Hungatella hathewayi (taxid 154046),Simiaoa sunii (taxid 2763672),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Petroclostridium sp. X23 (taxid 3045146),Clostridium thermosuccinogenes (taxid 84032),Bacillus subtilis (taxid 1423)
Ignavibacterium album JCM 16511 (taxid 945713),Glycocaulis alkaliphilus (taxid 1434191),Sphingomonas hengshuiensis (taxid 1609977)
Bacillus amyloliquefaciens (taxid 1390),Lysinibacillus agricola (taxid 2590012),Bacillus velezensis NAU-B3 (taxid 1385727)
Cytobacillus oceanisediminis (taxid 665099),Enterobacter hormaechei (taxid 158836),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Candidatus Sodalis pierantonius str. SOPE (taxid 2342),Succinivibrio dextrinosolvens (taxid 83771),Pseudomonas sp. 13159349 (taxid 2662034)
Bacillus mycoides (taxid 1405),Bacillus cereus group (taxid 86661),Ligilactobacillus salivarius (taxid 1624)
Priestia megaterium (taxid 1404),Lysinibacillus agricola (taxid 2590012),Bacillus velezensis NAU-B3 (taxid 1385727)
Eubacterium ventriosum (taxid 39496),Heliorestis convoluta (taxid 356322),Desulfobulbus propionicus DSM 2032 (taxid 577650)
Reichenbachiella carrageenanivorans (taxid 2979869),Chryseobacterium taklimakanense (taxid 536441),Candidatus Kaistella beijingensis (taxid 2820270)
Mageeibacillus indolicus UPII9-5 (taxid 699246),Caloramator sp. E03 (taxid 2576307),Bacillus subtilis (taxid 1423)
Prevotella fusca JCM 17724 (taxid 1236517),Segatella bryantii (taxid 77095),Candidatus Kaistella beijingensis (taxid 2820270)
Defluviicoccus vanus (taxid 111831),Microbacterium limosum (taxid 3079935),Microlunatus elymi (taxid 2596828)
Oscillatoria acuminata PCC 6304 (taxid 56110),Oxynema aestuarii AP17 (taxid 2064643),Aeoliella mucimassa (taxid 2527972)
Salmonella enterica subsp. enterica serovar Anatum (taxid 58712),Xenorhabdus poinarii G6 (taxid 1354304),Pseudomonas sp. FP198 (taxid 2954084)
Klebsiella huaxiensis (taxid 2153354),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Halomonas sp. NyZ770 (taxid 2883106),Halomonas sp. NyZ770 (taxid 2883106),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Cronobacter dublinensis (taxid 413497),Gallaecimonas kandeliae (taxid 3029055),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Prevotella intermedia (taxid 28131),Prevotella intermedia (taxid 28131),Microlunatus elymi (taxid 2596828)
Clostridioides difficile (taxid 1496),Staphylococcus aureus (taxid 1280),Crassaminicella indica (taxid 2855394)
Pseudazoarcus pumilus (taxid 2067960),Pseudazoarcus pumilus (taxid 2067960),Sulfuriferula plumbiphila (taxid 171865)
Agromyces aureus (taxid 453304),Leucobacter sp. CX169 (taxid 2813744),Microlunatus elymi (taxid 2596828)
Thalassoglobus polymorphus (taxid 2527994),Stieleria maiorica (taxid 2795974),Pseudomonas sp. TCU-HL1 (taxid 1856685)
Niallia sp. XMNu-256 (taxid 3082444),Staphylococcus condimenti (taxid 70255),Desulfobulbus propionicus DSM 2032 (taxid 577650)
Bifidobacterium thermophilum (taxid 33905),Bifidobacterium pseudolongum (taxid 1694),Corynebacterium cystitidis (taxid 35757)
Bacillus siamensis (taxid 659243),Peribacillus asahii (taxid 228899),Bacillus velezensis NAU-B3 (taxid 1385727)
Dermatobacter hominis (taxid 2884263),Actinomarinicola tropica (taxid 2789776),Microlunatus elymi (taxid 2596828)
Salmonella enterica subsp. enterica serovar California (taxid 29474),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Aminipila terrae (taxid 2697030),Flocculibacter collagenilyticus (taxid 2744479),Desulfobulbus propionicus DSM 2032 (taxid 577650)
Allobaculum mucilyticum (taxid 2834459),Faecalibaculum rodentium (taxid 1702221),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Pseudogemmatithrix spongiicola (taxid 3062599),Gemmatirosa kalamazoonensis (taxid 861299),Sphingomonas hengshuiensis (taxid 1609977)
Bacillus fonticola (taxid 2728853),Halalkalibacter krulwichiae (taxid 199441),Enterococcus faecium (taxid 1352)
Streptococcus pyogenes (taxid 1314),Streptococcus sp. CP1998 (taxid 3238303),Streptococcus chenjunshii (taxid 2173853)
Pseudomonas guangdongensis (taxid 1245526),Pseudomonas sp. 273 (taxid 75692),Halopseudomonas litoralis (taxid 797277)
Bacteroides fragilis (taxid 817),Staphylococcus simulans (taxid 1286),Bacillus velezensis NAU-B3 (taxid 1385727)
Lelliottia amnigena (taxid 61646),Klebsiella pneumoniae subsp. pneumoniae (taxid 72407),Pseudomonas sp. TCU-HL1 (taxid 1856685)
Aristaeella lactis (taxid 3046383),Aristaeella hokkaidonensis (taxid 3046382),Clostridium beijerinckii (taxid 1520)
Alistipes finegoldii (taxid 214856),Alistipes finegoldii (taxid 214856),Mucilaginibacter mali (taxid 2740462)
Acidibrevibacterium fodinaquatile (taxid 1969806),Pseudoroseomonas cervicalis (taxid 204525),Stenotrophomonas acidaminiphila (taxid 128780)
Roseovarius pacificus (taxid 337701),Ketogulonicigenium robustum (taxid 92947),Sphingomonas hengshuiensis (taxid 1609977)
Clostridium saccharobutylicum (taxid 169679),Clostridium butyricum (taxid 1492),Enterococcus faecium (taxid 1352)
Sphingorhabdus lutea (taxid 1913578),Novosphingobium sp. ZN18A2 (taxid 3079861),Sphingomonas hengshuiensis (taxid 1609977)
Nitrospira japonica (taxid 1325564),Nitrospira japonica (taxid 1325564),Microlunatus elymi (taxid 2596828)
Streptococcus pneumoniae SPN032672 (taxid 869311),Staphylococcus aureus (taxid 1280),Crassaminicella indica (taxid 2855394)
Solimonas sp. K1W22B-7 (taxid 2303331),Sinimarinibacterium sp. NLF-5-8 (taxid 2698684),Sphingomonas hengshuiensis (taxid 1609977)
Rhodopseudomonas palustris (taxid 1076),Rhodopseudomonas palustris (taxid 1076),Sphingomonas hengshuiensis (taxid 1609977)
Hydrogenophaga crocea (taxid 2716225),Comamonas antarctica (taxid 2743470),Hylemonella gracilis (taxid 80880)
Miltoncostaea marina (taxid 2843215),Miltoncostaea marina (taxid 2843215),Microlunatus elymi (taxid 2596828)
Methanobrevibacter ruminantium M1 (taxid 634498),Methanobrevibacter sp. AbM4 (taxid 224719),Hylemonella gracilis (taxid 80880)
Candidatus Xianfuyuplasma coldseepsis (taxid 2782163),Candidatus Formimonas warabiya (taxid 1761012),Bacillus subtilis (taxid 1423)
Thermomonospora curvata DSM 43183 (taxid 471852),Acidimicrobium ferrooxidans DSM 10331 (taxid 525909),Microlunatus elymi (taxid 2596828)
Neobacillus sp. PS3-12 (taxid 3070677),Staphylococcus condimenti (taxid 70255),Desulfobulbus propionicus DSM 2032 (taxid 577650)
Plantactinospora sp. KBS50 (taxid 2024580),Nocardioides aquaticus (taxid 160826),Microlunatus elymi (taxid 2596828)
Microvirgula aerodenitrificans (taxid 57480),Neisseria lactamica (taxid 486),Variovorax sp. PBL-E5 (taxid 434014)
Tolumonas auensis (taxid 43948),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Klebsiella pneumoniae KCTC 2242 (taxid 1049565),Leclercia adecarboxylata (taxid 83655),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Phycicoccus endophyticus (taxid 1690220),Arthrobacter sp. NEB 688 (taxid 904039),Microlunatus elymi (taxid 2596828)
Candidatus Planktophila vernalis (taxid 1884907),Candidatus Planktophila vernalis (taxid 1884907),Pseudomonas sp. TCU-HL1 (taxid 1856685)
Actinomycetospora sp. NBC_00405 (taxid 2975952),Pseudonocardia dioxanivorans CB1190 (taxid 675635),Microlunatus elymi (taxid 2596828)
Bacillus anthracis (taxid 1392),Geobacillus proteiniphilus (taxid 860353),Ligilactobacillus salivarius (taxid 1624)
Heliorestis convoluta (taxid 356322),Clostridium intestinale (taxid 36845),Enterococcus faecium (taxid 1352)
Aquicella siphonis (taxid 254247),Azospirillum argentinense (taxid 2970906),Acinetobacter calcoaceticus/baumannii complex (taxid 909768)
Sphingomonas sabuli (taxid 2764186),Sphingomonas sabuli (taxid 2764186),Sphingomonas hengshuiensis (taxid 1609977)
Clostridium sp. SY8519 (taxid 1042156),Clostridium sp. SY8519 (taxid 1042156),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Romboutsia sp. CE17 (taxid 2724150),Enterococcus faecalis ATCC 29212 (taxid 1201292),Crassaminicella indica (taxid 2855394)
Bacillus licheniformis (taxid 1402),Miniphocaeibacter halophilus (taxid 2931922),Bacillus velezensis NAU-B3 (taxid 1385727)
Deinococcus geothermalis DSM 11300 (taxid 319795),Deinococcus aetherius (taxid 200252),Desulfobulbus propionicus DSM 2032 (taxid 577650)
Thermomonas sp. HDW16 (taxid 2714945),Lysobacter sp. 5GHs7-4 (taxid 2904253),Thermomonas aquatica (taxid 2202149)
Sarcina sp. JB2 (taxid 2726954),Sarcina sp. JB2 (taxid 2726954),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Barnesiella viscericola DSM 18177 (taxid 880074),Barnesiella viscericola DSM 18177 (taxid 880074),Sphingomonas hengshuiensis (taxid 1609977)
Sphingomonas profundi (taxid 2681549),Stakelama saccharophila (taxid 3075605),Sphingomonas hengshuiensis (taxid 1609977)
Butyricimonas paravirosa (taxid 1472417),Butyricimonas paravirosa (taxid 1472417),Sphingomonas hengshuiensis (taxid 1609977)
Blautia sp. SC05B48 (taxid 2479767),Blautia luti (taxid 89014),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Phenylobacterium zucineum HLK1 (taxid 450851),Phenylobacterium zucineum HLK1 (taxid 450851),Brucella intermedia (taxid 94625)
Nocardioides sp. InS609-2 (taxid 2760705),Nocardioides sp. InS609-2 (taxid 2760705),Microlunatus elymi (taxid 2596828)
Turicimonas muris (taxid 1796652),Turicimonas muris (taxid 1796652),Hylemonella gracilis (taxid 80880)
Actinobacillus arthritidis (taxid 157339),Actinobacillus arthritidis (taxid 157339),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Glutamicibacter creatinolyticus (taxid 162496),Ornithinimicrobium flavum (taxid 1288636),Microlunatus elymi (taxid 2596828)
Venatoribacter cucullus (taxid 2661630),Aeromonas caviae (taxid 648),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Lysobacter capsici (taxid 435897),Lysobacter sp. 5GHs7-4 (taxid 2904253),Thermomonas aquatica (taxid 2202149)
Fastidiosipila sanguinis (taxid 236753),Caloramator sp. E03 (taxid 2576307),Bacillus subtilis (taxid 1423)
Thiomicrospira sp. R3 (taxid 3035472),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Citrobacter gillenii (taxid 67828),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Corynebacterium canis (taxid 679663),Corynebacterium genitalium ATCC 33030 (taxid 585529),Corynebacterium cystitidis (taxid 35757)
Chloroflexus aurantiacus J-10-fl (taxid 324602),Sphaerobacter thermophilus DSM 20745 (taxid 479434),Microlunatus elymi (taxid 2596828)
Fusobacterium animalis (taxid 76859),Sneathia vaginalis (taxid 187101),Pseudomonas sp. 13159349 (taxid 2662034)
Streptomyces nodosus (taxid 40318),Streptomyces sp. WY228 (taxid 2855836),Microlunatus elymi (taxid 2596828)
Acutalibacter muris (taxid 1796620),Hymenobacter sp. BRD128 (taxid 2675878),Chryseobacterium group (taxid 2782232)
Paenibacillus naphthalenovorans (taxid 162209),Paenibacillus hunanensis (taxid 539262),Bacillus velezensis NAU-B3 (taxid 1385727)
Citrobacter freundii complex sp. CFNIH9 (taxid 2077149),Enterobacter cloacae (taxid 550),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Blastococcus sp. HT6-30 (taxid 3144843),Blastococcus sp. HT6-30 (taxid 3144843),Microlunatus elymi (taxid 2596828)
Gephyromycinifex aptenodytis (taxid 2716227),Kytococcus sedentarius (taxid 1276),Microlunatus elymi (taxid 2596828)
Proteus mirabilis (taxid 584),Pseudomonas beijingensis (taxid 2954101),Pseudomonas sp. TCU-HL1 (taxid 1856685)
Novosphingobium sp. ZN18A2 (taxid 3079861),Novosphingobium sp. ZN18A2 (taxid 3079861),Sphingomonas hengshuiensis (taxid 1609977)
Paracoccus sp. AK26 (taxid 2589076),Paracoccus sp. AK26 (taxid 2589076),Brucella intermedia (taxid 94625)
Halomonas meridiana (taxid 29570),Halomonas sp. NyZ770 (taxid 2883106),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Aeromonas salmonicida (taxid 645),Aeromonas caviae (taxid 648),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Cellvibrio sp. PSBB006 (taxid 1987723),Cellvibrio sp. PSBB006 (taxid 1987723),Pseudomonas sp. TCU-HL1 (taxid 1856685)
Parabacteroides chongii (taxid 2685834),Parabacteroides goldsteinii (taxid 328812),Aquipluma nitroreducens (taxid 2010828)
Corynebacterium coyleae (taxid 53374),Corynebacterium endometrii (taxid 2488819),Corynebacterium cystitidis (taxid 35757)
Selenomonas timonae (taxid 2754044),Roseiflexus castenholzii DSM 13941 (taxid 383372),Corynebacterium cystitidis (taxid 35757)
Diaphorobacter limosus (taxid 3036128),Alicycliphilus denitrificans (taxid 179636),Variovorax sp. PBL-E5 (taxid 434014)
Serratia inhibens PRI-2C (taxid 1154756),Aeromonas caviae (taxid 648),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Helicobacter canadensis (taxid 123841),Peredibacter starrii (taxid 28202),Pseudomonas sp. FP198 (taxid 2954084)
Waddlia chondrophila WSU 86-1044 (taxid 716544),Rhizobium leguminosarum bv. trifolii (taxid 386),Brucella intermedia (taxid 94625)
Synechococcus elongatus (taxid 32046),Candidatus Planktophila vernalis (taxid 1884907),Pseudomonas sp. TCU-HL1 (taxid 1856685)
Enterococcus gallinarum (taxid 1353),Enterococcus faecium (taxid 1352),Ligilactobacillus salivarius (taxid 1624)
Brooklawnia propionicigenes (taxid 3041175),Brooklawnia propionicigenes (taxid 3041175),Microlunatus elymi (taxid 2596828)
Geobacillus sp. GHH01 (taxid 1233873),Paenibacillus antarcticus (taxid 253703),Bacillus velezensis NAU-B3 (taxid 1385727)
Nitrospirillum viridazoti CBAmc (taxid 1441467),Enhydrobacter sp. (taxid 1894999),Sulfuriferula plumbiphila (taxid 171865)
Rhizobium sp. TH2 (taxid 2775403),Rhizobium sp. CC-CFT758 (taxid 2926709),Brucella intermedia (taxid 94625)
Chryseobacterium sp. ZHDP1 (taxid 2838877),Chryseobacterium group (taxid 2782232),Candidatus Kaistella beijingensis (taxid 2820270)
Gardnerella vaginalis (taxid 2702),Gardnerella swidsinskii (taxid 2792979),Corynebacterium cystitidis (taxid 35757)
Candidatus Koribacter versatilis Ellin345 (taxid 204669),Pirellula staleyi DSM 6068 (taxid 530564),Sphingomonas hengshuiensis (taxid 1609977)
Pseudomonas lurida (taxid 244566),Staphylococcus simulans (taxid 1286),Bacillus velezensis NAU-B3 (taxid 1385727)
Citrobacter portucalensis (taxid 1639133),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Prevotella veroralis (taxid 28137),Pseudoprevotella muciniphila (taxid 2133944),Sphingomonas hengshuiensis (taxid 1609977)
Bifidobacterium asteroides (taxid 1684),Bifidobacterium pseudolongum (taxid 1694),Corynebacterium cystitidis (taxid 35757)
Lactobacillus jensenii (taxid 109790),Lactobacillus jensenii (taxid 109790),Ligilactobacillus salivarius (taxid 1624)
Limosilactobacillus reuteri (taxid 1598),Lactobacillus gasseri (taxid 1596),Ligilactobacillus salivarius (taxid 1624)
Haematobacter massiliensis (taxid 195105),Haematobacter massiliensis (taxid 195105),Brucella intermedia (taxid 94625)
Buchnera aphidicola (taxid 9),Psychromonas ingrahamii 37 (taxid 357804),Alcaligenes nematophilus (taxid 2994643)
Superficieibacter sp. HKU1 (taxid 3031919),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Steroidobacter denitrificans (taxid 465721),Halorhodospira halochloris (taxid 1052),Halopseudomonas litoralis (taxid 797277)
Blautia hydrogenotrophica DSM 10507 (taxid 476272),Blautia luti (taxid 89014),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Cellulomonas gilvus ATCC 13127 (taxid 593907),Cellulomonas gilvus ATCC 13127 (taxid 593907),Microlunatus elymi (taxid 2596828)
Roseomonas marmotae (taxid 2768161),Roseomonas marmotae (taxid 2768161),Pseudomonas syringae (taxid 317)
Vulcanimicrobium alpinum (taxid 3016050),Salinarimonas sp. (taxid 2766526),Desulfobulbus propionicus DSM 2032 (taxid 577650)
Bacteroides stercoris (taxid 46506),Bacteroides intestinalis (taxid 329854),Chryseobacterium group (taxid 2782232)
Streptomyces tsukubensis (taxid 83656),Streptomyces sp. WY228 (taxid 2855836),Microlunatus elymi (taxid 2596828)
Vibrio coralliilyticus (taxid 190893),Klebsiella pneumoniae subsp. pneumoniae (taxid 72407),Pseudomonas sp. TCU-HL1 (taxid 1856685)
Corynebacterium incognita (taxid 2754725),Corynebacterium incognita (taxid 2754725),Corynebacterium cystitidis (taxid 35757)
Dokdonella koreensis DS-123 (taxid 1300342),Neisseria lactamica (taxid 486),Variovorax sp. PBL-E5 (taxid 434014)
Phototrophicus methaneseepsis (taxid 2710758),Phototrophicus methaneseepsis (taxid 2710758),Stenotrophomonas acidaminiphila (taxid 128780)
Winslowiella toletana (taxid 92490),Enterobacter hormaechei (taxid 158836),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Serratia rubidaea (taxid 61652),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Amphibacillus xylanus NBRC 15112 (taxid 698758),Sporolactobacillus terrae (taxid 269673),Ligilactobacillus salivarius (taxid 1624)
Limosilactobacillus fermentum (taxid 1613),Enterococcus faecium (taxid 1352),Ligilactobacillus salivarius (taxid 1624)
Massilia forsythiae (taxid 2728020),Massilia sp. WG5 (taxid 1707785),Sulfuriferula plumbiphila (taxid 171865)
Nitrospira tepida (taxid 2973512),Nitrospira japonica (taxid 1325564),Microlunatus elymi (taxid 2596828)
Bacteroides xylanisolvens (taxid 371601),Bacteroides thetaiotaomicron (taxid 818),Aquipluma nitroreducens (taxid 2010828)
Rhodoligotrophos sp. CJ14 (taxid 3069264),Pseudorhodoplanes sinuspersici (taxid 1235591),Brucella intermedia (taxid 94625)
Croceibacterium sp. TMG7-5b_MA50 (taxid 3121290),Sphingomonas kaistensis (taxid 298708),Sphingomonas hengshuiensis (taxid 1609977)
Stenotrophomonas sp. SXG-1 (taxid 2682487),Stenotrophomonas maltophilia group (taxid 995085),Stenotrophomonas maltophilia group (taxid 995085)
Lacrimispora sp. BS-2 (taxid 3151850),Lacrimispora sp. BS-2 (taxid 3151850),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Hoylesella buccalis (taxid 28127),Hoylesella buccalis (taxid 28127),Chryseobacterium group (taxid 2782232)
Acinetobacter sp. NyZ410 (taxid 2929509),Acinetobacter sp. NyZ410 (taxid 2929509),Acinetobacter calcoaceticus/baumannii complex (taxid 909768)
Clostridium thermarum (taxid 1716543),Sarcina sp. JB2 (taxid 2726954),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Actinomyces timonensis (taxid 1288391),Dermabacter jinjuensis (taxid 1667168),Microlunatus elymi (taxid 2596828)
Klebsiella aerogenes (taxid 548),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Shewanella putrefaciens (taxid 24),Arsenophonus symbiont of Ornithomya chloropus (taxid 634121),Pseudomonas sp. TCU-HL1 (taxid 1856685)
Streptococcus pyogenes str. Manfredo (taxid 160491),Streptococcus sp. FSL R7-0248 (taxid 2975324),Streptococcus chenjunshii (taxid 2173853)
Paraurantiacibacter namhicola (taxid 645517),Erythrobacter sp. HKB08 (taxid 2502843),Sphingomonas hengshuiensis (taxid 1609977)
Schaalia cardiffensis F0333 (taxid 888050),Schaalia odontolytica (taxid 1660),Microlunatus elymi (taxid 2596828)
Niveispirillum cyanobacteriorum (taxid 1612173),Stella humosa (taxid 94),Sphingomonas sp. CL5.1 (taxid 2653203)
Jatrophihabitans cynanchi (taxid 2944128),Streptomyces cynarae (taxid 2981134),Microlunatus elymi (taxid 2596828)
Clostridium argentinense (taxid 29341),Clostridium argentinense (taxid 29341),Enterococcus faecium (taxid 1352)
Paraclostridium sordellii (taxid 1505),Staphylococcus aureus (taxid 1280),Crassaminicella indica (taxid 2855394)
Lactobacillus panisapium (taxid 2012495),Lactobacillus crispatus (taxid 47770),Ligilactobacillus salivarius (taxid 1624)
Helicovermis profundi (taxid 3065157),Helicovermis profundi (taxid 3065157),Crassaminicella indica (taxid 2855394)
Bacillus infantis (taxid 324767),Cytobacillus pseudoceanisediminis (taxid 3051614),Bacillus velezensis NAU-B3 (taxid 1385727)
Aquibium microcysteis (taxid 675281),Chelativorans sp. AA-79 (taxid 3028735),Brucella intermedia (taxid 94625)
Devosia rhizoryzae (taxid 2774137),Devosia sp. A16 (taxid 1736675),Brucella intermedia (taxid 94625)
Luteitalea sp. TBR-22 (taxid 2802971),Luteitalea sp. TBR-22 (taxid 2802971),Enterococcus faecium (taxid 1352)
Gleimia hominis (taxid 595468),Ottowia oryzae (taxid 2109914),Variovorax sp. PBL-E5 (taxid 434014)
Thiobacillus sp. SCUT-2 (taxid 3110231),Thiobacillus sp. (taxid 924),Sulfuriferula plumbiphila (taxid 171865)
Caldilinea aerophila DSM 14535 = NBRC 104270 (taxid 926550),Candidatus Promineifilum breve (taxid 1806508),Anaerolinea thermophila UNI-1 (taxid 926569)
Nocardia asteroides (taxid 1824),Blastococcus sp. HT6-30 (taxid 3144843),Microlunatus elymi (taxid 2596828)
